Location,Geo_ID,Total_Collisions,Cyclists_Collisions,Pedestrian_collisions,X,Y,Latitude,Longitude,ObjectId
HIGHWAY 417 btwn HIGHWAY 17 & HWY417 IC180 RAMP51 (__5SO7SU),__5SO7SU,1,0,0,317409.6914,5031061.481,45.4193752002734,-76.3388778878065,1
OTTAWA ROAD 29 btwn BIG HORN WAY & UPPER DWYER HILL RD (__5SO6A3),__5SO6A3,1,0,0,317822.4273,5030402.548,45.4134382115382,-76.3336215320148,2
MADAWASKA BLVD btwn CONNIFER LANE & Continuation of MADAWASKA BLVD (__5SPK8W),__5SPK8W,1,0,0,318517.614,5031843.404,45.426390499858,-76.3246995401668,3
COUNTY RD 29 @ MADAWASKA BLVD (0011704),11704,1,0,0,318895.5442,5031715.602,45.4252329584197,-76.3198735667406,4
OTTAWA ROAD 29 btwn GALETTA SIDE RD & GALETTA SIDE RD (__3ZA2RW),__3ZA2RW,1,0,0,319333.7352,5027523.424,45.3875005266206,-76.314397546837,5
UPPER DWYER HILL RD btwn GALETTA SIDE RD & OTTAWA ROAD 29 (__3ZA2LO),__3ZA2LO,1,0,0,319470.0718,5030306.443,45.4125408061162,-76.3125736952792,6
HIGHWAY 17 btwn Continuation of HIGHWAY 17 & THOMAS ELLIOT RD (__3ZA2LB),__3ZA2LB,1,0,0,319717.4697,5031524.607,45.4234972429027,-76.3093760526068,7
HIGHWAY 17 @ THOMAS ELLIOT RD (0005722),5722,1,0,0,320333.5149,5031331.675,45.4217477349322,-76.3015100054738,8
HIGHWAY 417 btwn HWY417 IC180 RAMP35 & HWY417 IC169 RAMP51 (__5SO6CL),__5SO6CL,1,0,0,321877.8886,5028690.933,45.3979489881542,-76.2818673506113,9
UPPER DWYER HILL RD btwn GALETTA SIDE RD & RITCHIE SIDE RD (__3ZAC10),__3ZAC10,2,0,0,321896.3753,5027733.58,45.3893337597179,-76.2816643999646,10
HIGHWAY 417 btwn HWY417 IC180 RAMP61 & HWY417 IC169 RAMP36 (__5DVYB1),__5DVYB1,1,0,0,322135.3581,5028489.166,45.396127054006,-76.2785858565191,11
HIGHWAY 17 btwn HUNT LINE RD & WINDWARD WAY (__3ZA2LA),__3ZA2LA,1,0,0,323376.9197,5028171.377,45.3932355820255,-76.2627402327024,12
KINBURN SIDE RD btwn TIMMINS RD & DOMINION SPRINGS RD (__3ZA4SJ),__3ZA4SJ,1,0,0,323486.0337,5022974.673,45.3464698111483,-76.2615432459408,13
UPPER DWYER HILL RD btwn RITCHIE SIDE RD & HANSON SIDE RD (__3ZAC18),__3ZAC18,1,0,0,323778.5228,5025713.385,45.3711064712196,-76.2577055999816,14
GALETTA SIDE RD btwn MOHRS RD & MORNING DEW DR (__4B1MVN),__4B1MVN,4,0,0,324057.3614,5031871.352,45.4265114050517,-76.2539053378405,15
HANSON SIDE RD @ UPPER DWYER HILL RD (0005969),5969,1,0,0,324617.4278,5024809.605,45.3629505337198,-76.2470318493373,16
GALETTA SIDE RD btwn MORNING DEW DR & LOGGERS WAY (__3ZA4RE),__3ZA4RE,1,0,0,324636.6801,5032239.939,45.4298119306548,-76.2464873037746,17
GALETTA SIDE RD btwn LOGGERS WAY & JOHN SHAW RD (__3ZA4RA),__3ZA4RA,1,0,0,325534.1753,5033019.716,45.4368026781191,-76.2349846000815,18
FARMVIEW RD btwn HUNT LINE RD & KINBURN SIDE RD (__3ZAC19),__3ZAC19,1,0,0,326041.6971,5027322.389,45.3855201916727,-76.2287432671949,19
KINBURN SIDE RD btwn HIGHWAY 17 & FARMVIEW RD (__3ZA4RG),__3ZA4RG,1,0,0,326572.9055,5025742.032,45.3712830043944,-76.2220294962726,20
HARBOUR ST btwn FITZROY ST & PIGOTT ST (__3ZA4R8),__3ZA4R8,1,0,0,327055.7318,5036760.833,45.4704199590245,-76.2153676518721,21
GALETTA SIDE RD @ HOMESTEADERS RD (0002380),2380,1,0,0,327089.5645,5034406.662,45.4492351380285,-76.215041693456,22
LOGGERS WAY @ HUNT LINE RD (0005973),5973,1,0,0,327096.5096,5030269.612,45.4120079476978,-76.2151402333728,23
FITZROY ST btwn OLD SHIP RD & TO BE DETERMINED (__3ZA4RL),__3ZA4RL,1,0,0,327608.0051,5037312.613,45.4753672567062,-76.2082790106845,24
KINBURN SIDE RD btwn FARMVIEW RD & MOHRS RD (__3ZA4RZ),__3ZA4RZ,2,0,0,327620.9428,5026654.037,45.3794563502435,-76.2086074303563,25
FERRY RD btwn BADHAMS SIDE RD & OLD BIRCH RD (__3ZBPL3),__3ZBPL3,1,0,0,327754.543,5040155.506,45.5009437596144,-76.2062718454503,26
THYMES DR btwn LOGGERS WAY & END (__4LKWIF),__4LKWIF,1,0,0,327884.8638,5029704.837,45.4069002808598,-76.2050948156619,27
LOGGERS WAY btwn THYMES DR & YUCKS LANE (__4LKVEA),__4LKVEA,1,0,0,327887.1188,5029312.242,45.403367453814,-76.205084391422,28
